debtor_id,age,fico_score,days_overdue,income_level,has_collateral,region_risk,payment_history,bankruptcy_flag,pensioner_flag,recovery_probability
DEBTOR_00058,71,538,33,medium,0,5,40.63,0,1,0.1204
DEBTOR_00059,24,450,49,medium,0,3,26.59,0,0,0.6268
DEBTOR_00060,54,555,9,high,0,2,30.26,0,0,0.8771
DEBTOR_00061,83,536,163,high,0,2,25.89,0,0,0.4078
DEBTOR_00062,44,586,57,medium,1,5,9.07,0,0,0.6236
DEBTOR_00063,53,670,26,low,0,2,15.25,0,0,0.7531
DEBTOR_00064,50,847,50,medium,0,4,14.41,0,0,0.8214
DEBTOR_00065,61,734,6,medium,0,4,44.74,0,0,0.8213
DEBTOR_00066,42,765,239,high,1,4,37.38,0,0,0.6251
DEBTOR_00067,56,701,72,low,1,1,25.45,0,0,0.8821
DEBTOR_00068,21,648,103,medium,1,1,19.42,0,0,0.9506
DEBTOR_00069,79,544,12,low,1,3,35.52,0,1,0.2275
DEBTOR_00070,65,698,320,medium,0,3,36.8,0,1,0.0675
DEBTOR_00071,74,517,9,low,0,4,23.26,0,0,0.551
DEBTOR_00072,30,419,179,high,0,3,44.49,0,0,0.3962
DEBTOR_00073,28,525,45,low,0,5,17.05,0,0,0.4895
DEBTOR_00074,57,588,54,high,0,4,26.18,0,0,0.5784
DEBTOR_00075,70,381,32,low,0,3,44.73,0,0,0.606
DEBTOR_00076,47,754,71,high,1,5,18.46,0,0,0.6388
DEBTOR_00077,67,569,59,medium,0,1,30.01,1,1,0.0
DEBTOR_00078,46,815,65,medium,0,4,12.23,0,0,0.5812
DEBTOR_00079,75,826,154,medium,0,3,19.31,1,0,0.0
DEBTOR_00080,61,835,93,low,1,2,8.78,0,1,0.3511
DEBTOR_00081,28,363,13,low,0,3,12.71,0,0,0.5304
DEBTOR_00082,68,387,47,low,0,2,52.32,0,0,0.4829
DEBTOR_00083,55,389,14,low,0,4,5.84,0,0,0.4805
DEBTOR_00084,79,383,89,medium,0,3,56.84,0,0,0.4583
DEBTOR_00085,62,608,62,medium,1,5,9.01,0,1,0.2857
DEBTOR_00086,48,323,94,medium,0,3,25.39,0,0,0.3383
DEBTOR_00087,53,594,10,medium,0,4,40.18,0,0,0.6885
DEBTOR_00088,79,801,77,low,0,5,60.65,0,0,0.8395
DEBTOR_00089,64,586,11,medium,0,4,8.58,0,1,0.1601
DEBTOR_00090,61,455,45,low,0,2,54.74,0,1,0.1586
DEBTOR_00091,50,505,72,medium,1,3,23.92,0,0,0.6086
DEBTOR_00092,62,607,16,medium,0,4,20.8,0,1,0.2356
DEBTOR_00093,34,837,166,high,0,5,25.2,0,0,0.4419
DEBTOR_00094,50,388,16,low,0,4,31.56,0,0,0.4884
DEBTOR_00095,18,643,37,medium,0,3,46.28,1,0,0.0
DEBTOR_00096,83,302,162,high,0,2,51.81,0,1,0.1193
DEBTOR_00097,63,797,12,low,0,4,28.48,0,1,0.1125
DEBTOR_00098,69,793,59,low,0,3,24.07,0,0,0.8992
DEBTOR_00099,48,611,222,low,1,4,64.96,0,0,0.7894
DEBTOR_00100,43,820,15,high,0,3,23.43,0,0,0.8073
DEBTOR_00101,35,738,137,high,1,1,28.35,0,0,1.0
DEBTOR_00102,42,619,37,low,0,3,21.57,0,0,0.5948
DEBTOR_00103,58,816,12,medium,0,2,27.9,0,0,0.8746
DEBTOR_00104,48,602,25,low,0,3,34.32,0,0,0.6002
DEBTOR_00105,82,585,21,medium,1,4,28.11,0,1,0.0909
DEBTOR_00106,69,706,26,medium,0,3,69.29,0,0,0.8666
DEBTOR_00107,47,761,6,low,0,2,7.46,0,0,0.8627
DEBTOR_00108,71,537,93,medium,1,3,40.02,0,1,0.2105
DEBTOR_00109,48,831,18,low,0,3,70.36,0,0,1.0
DEBTOR_00110,26,398,21,medium,0,3,56.01,0,0,0.5428
DEBTOR_00111,55,530,67,low,0,3,31.67,0,0,0.6964
DEBTOR_00112,38,770,26,low,1,5,20.82,0,0,0.915
DEBTOR_00113,80,607,23,medium,0,3,37.76,0,0,0.818
DEBTOR_00114,77,328,148,low,0,3,11.96,0,0,0.3424
DEBTOR_00115,25,499,25,low,1,5,9.33,0,0,0.5466
DEBTOR_00116,75,560,60,low,0,4,44.71,0,1,0.1088
DEBTOR_00117,27,448,42,high,0,3,40.05,0,0,0.4863
DEBTOR_00118,47,471,111,high,0,5,22.92,0,0,0.4847
DEBTOR_00119,24,535,269,low,1,2,32.86,0,0,0.5149
DEBTOR_00120,78,652,33,medium,0,3,53.2,0,0,0.6806
DEBTOR_00121,82,403,62,low,0,4,39.38,0,0,0.4832
DEBTOR_00122,31,717,110,medium,0,3,19.15,0,0,0.5469
DEBTOR_00123,43,768,22,low,0,3,18.73,0,0,0.7993
DEBTOR_00124,41,461,18,medium,1,3,27.24,0,0,0.8508
DEBTOR_00125,72,780,237,medium,0,3,19.28,0,1,0.0518
DEBTOR_00126,78,437,18,medium,0,3,22.89,0,0,0.5528
DEBTOR_00127,81,560,94,low,0,4,14.85,0,0,0.4787
DEBTOR_00128,24,462,300,low,0,4,21.91,0,0,0.0999
DEBTOR_00129,74,832,4,low,0,3,48.4,0,0,0.9921
DEBTOR_00130,54,604,81,low,1,2,12.89,0,0,0.7515
DEBTOR_00131,78,653,133,medium,0,2,15.33,0,1,0.1712
DEBTOR_00132,56,385,130,low,1,4,51.99,0,0,0.4761
DEBTOR_00133,32,675,169,low,0,5,32.83,0,0,0.4761
DEBTOR_00134,67,726,19,medium,0,4,10.14,0,1,0.2597
DEBTOR_00135,59,767,42,low,0,2,59.91,0,0,0.8764
DEBTOR_00136,36,843,9,high,0,2,36.58,1,0,0.0
DEBTOR_00137,37,681,151,medium,0,3,47.59,0,0,0.5736
DEBTOR_00138,38,455,24,low,0,3,29.7,0,0,0.7091
DEBTOR_00139,28,588,20,low,0,2,43.96,0,0,0.7381
DEBTOR_00140,31,759,17,high,0,4,52.55,0,0,0.7457
DEBTOR_00141,79,846,19,low,1,5,40.08,0,0,0.9816
DEBTOR_00142,36,697,24,low,1,3,22.46,0,0,0.8456
DEBTOR_00143,25,813,349,medium,0,4,35.69,0,0,0.2502
DEBTOR_00144,84,500,158,high,0,3,46.11,0,0,0.3088
DEBTOR_00145,39,531,128,medium,0,2,45.42,0,0,0.6019
DEBTOR_00146,55,561,22,medium,0,2,42.41,0,0,0.5432
DEBTOR_00147,65,348,14,low,0,4,42.68,0,1,0.1323
DEBTOR_00148,56,482,9,low,0,2,57.18,0,0,0.6406
DEBTOR_00149,25,452,27,low,0,3,52.24,0,0,0.4489
DEBTOR_00150,45,383,17,medium,0,3,35.47,0,0,0.588
DEBTOR_00151,19,686,16,low,0,3,28.4,0,0,0.8402
DEBTOR_00152,45,576,73,low,0,4,50.25,0,0,0.4562
DEBTOR_00153,65,417,63,low,0,1,17.52,0,1,0.2067
DEBTOR_00154,28,624,64,medium,1,2,23.23,0,0,0.8378
DEBTOR_00155,68,561,350,low,0,3,26.77,0,0,0.2069
DEBTOR_00156,34,408,16,medium,0,4,15.13,0,0,0.4692
DEBTOR_00157,38,599,69,low,0,3,17.48,0,0,0.6826
DEBTOR_00158,54,819,35,low,0,5,17.44,0,0,0.7591
DEBTOR_00159,37,823,334,low,0,3,29.81,0,0,0.3647
DEBTOR_00160,81,798,361,low,0,4,33.88,0,1,0.1419
DEBTOR_00161,78,586,23,high,0,3,12.95,0,0,0.6503
DEBTOR_00162,54,300,103,medium,0,4,21.3,0,0,0.2075
DEBTOR_00163,47,657,65,medium,0,1,14.25,0,0,0.7924
DEBTOR_00164,73,410,28,low,0,1,14.69,0,1,0.2808
DEBTOR_00165,36,612,121,high,0,4,47.23,0,0,0.4658
DEBTOR_00166,47,559,13,low,0,2,16.28,0,0,0.7115
DEBTOR_00167,67,689,337,medium,1,3,20.96,0,1,0.1461
DEBTOR_00168,34,770,59,medium,1,2,31.43,0,0,0.9958
DEBTOR_00169,64,832,320,low,0,3,17.34,0,1,0.1032
DEBTOR_00170,30,399,99,medium,0,4,32.3,0,0,0.3506
DEBTOR_00171,20,327,74,low,0,1,31.1,0,0,0.5367
DEBTOR_00172,30,401,24,low,0,3,17.79,0,0,0.5216
DEBTOR_00173,77,529,118,medium,0,2,21.29,0,0,0.3659
DEBTOR_00174,29,827,167,medium,0,4,40.83,0,0,0.5895
DEBTOR_00175,46,788,29,medium,0,5,48.98,0,0,0.7312
DEBTOR_00176,74,325,25,medium,0,3,45.59,0,1,0.0535
DEBTOR_00177,64,458,9,medium,0,2,22.11,0,1,0.2615
DEBTOR_00178,63,522,60,high,0,2,45.49,0,0,0.7164
DEBTOR_00179,65,389,42,medium,1,3,32.62,0,0,0.721
DEBTOR_00180,56,486,54,low,1,3,7.4,0,0,0.5711
DEBTOR_00181,83,755,16,low,0,1,84.13,0,1,0.3077
DEBTOR_00182,34,573,13,medium,1,2,16.68,0,0,0.796
DEBTOR_00183,82,700,64,low,0,3,10.51,0,0,0.7979
DEBTOR_00184,32,408,29,high,1,1,20.32,0,0,0.8303
DEBTOR_00185,57,488,64,low,0,3,35.02,0,0,0.5104
DEBTOR_00186,27,690,68,high,1,2,20.47,0,0,0.998
DEBTOR_00187,75,605,5,low,0,4,70.17,0,0,0.8053
DEBTOR_00188,26,779,248,medium,1,3,25.23,0,0,0.6948
DEBTOR_00189,83,403,129,low,1,4,23.85,0,0,0.5356
DEBTOR_00190,72,491,47,low,0,1,40.83,0,1,0.1853
DEBTOR_00191,76,467,83,low,0,4,27.04,0,0,0.3906
DEBTOR_00192,73,674,80,low,1,2,40.18,0,1,0.2351
DEBTOR_00193,45,368,22,low,0,3,29.16,0,0,0.4249
DEBTOR_00194,36,427,22,high,0,1,30.46,0,0,0.6726
DEBTOR_00195,58,503,89,medium,0,3,12.61,0,0,0.4848
DEBTOR_00196,37,407,50,medium,0,3,11.69,0,0,0.6151
DEBTOR_00197,19,712,31,medium,1,5,4.62,0,0,0.7879
DEBTOR_00198,18,719,136,low,0,3,30.24,0,0,0.6059
DEBTOR_00199,32,678,57,medium,0,2,17.27,0,0,0.6856
DEBTOR_00200,65,595,80,medium,1,5,11.75,0,1,0.2266
DEBTOR_00201,82,793,163,low,0,5,12.49,0,1,0.0622
DEBTOR_00202,35,362,41,low,0,1,20.34,0,0,0.4883
DEBTOR_00203,55,640,59,high,0,3,26.89,0,0,0.5057
DEBTOR_00204,80,351,226,high,0,3,36.94,0,1,0.0
DEBTOR_00205,22,725,47,medium,1,3,45.79,0,0,0.96
DEBTOR_00206,39,588,122,low,0,3,60.18,0,0,0.5261
DEBTOR_00207,36,417,252,low,0,4,7.76,0,0,0.3
DEBTOR_00208,65,538,244,low,0,3,39.15,0,0,0.4314
DEBTOR_00209,79,828,55,medium,0,1,17.65,0,1,0.3623
DEBTOR_00210,46,638,32,low,0,3,24.76,0,0,0.6581
DEBTOR_00211,74,591,15,low,0,3,15.83,0,1,0.3455
DEBTOR_00212,47,534,79,low,1,1,13.5,0,0,0.609
DEBTOR_00213,75,799,173,low,1,4,29.63,0,0,0.8881
DEBTOR_00214,59,744,13,low,1,2,43.02,0,0,1.0
DEBTOR_00215,19,477,326,low,0,3,38.49,0,0,0.0284
DEBTOR_00216,44,736,203,medium,0,4,23.55,0,0,0.3624
DEBTOR_00217,52,816,136,low,1,3,11.25,0,0,0.8687
DEBTOR_00218,55,326,133,medium,1,3,53.47,0,0,0.4255
DEBTOR_00219,38,798,22,low,1,5,8.06,1,0,0.0333
DEBTOR_00220,27,638,151,low,0,3,29.59,0,0,0.5558
DEBTOR_00221,80,614,81,high,0,5,36.26,0,1,0.1788
DEBTOR_00222,58,810,25,medium,0,2,20.34,0,0,0.8587
DEBTOR_00223,37,733,63,low,0,5,31.66,0,0,0.6034
DEBTOR_00224,57,449,20,high,0,2,29.24,0,0,0.8427
DEBTOR_00225,44,480,23,low,0,3,33.59,0,0,0.4555
DEBTOR_00226,34,363,60,medium,0,2,10.45,0,0,0.4096
DEBTOR_00227,57,595,12,medium,1,1,13.41,0,0,1.0
DEBTOR_00228,79,752,6,medium,0,3,72.8,0,1,0.25
DEBTOR_00229,26,388,48,low,1,2,45.03,0,0,0.8969
DEBTOR_00230,61,337,19,medium,0,3,11.3,0,1,0.1451
DEBTOR_00231,56,371,122,low,0,3,41.49,0,0,0.4965
DEBTOR_00232,49,686,139,medium,1,3,15.66,0,0,0.697
DEBTOR_00233,30,575,20,medium,1,2,23.57,0,0,0.9463
DEBTOR_00234,34,585,43,medium,1,3,53.57,0,0,1.0
DEBTOR_00235,69,716,362,medium,0,2,43.97,0,0,0.4382
DEBTOR_00236,59,438,73,high,0,5,37.86,0,0,0.3512
DEBTOR_00237,66,526,19,low,1,3,40.14,0,1,0.0712
DEBTOR_00238,66,598,88,medium,0,3,35.14,0,1,0.15
DEBTOR_00239,65,746,294,low,1,2,10.32,0,1,0.339
DEBTOR_00240,43,659,157,medium,1,1,29.78,0,0,0.941
DEBTOR_00241,29,770,4,low,0,5,38.67,0,0,0.8152
DEBTOR_00242,69,601,25,low,1,2,23.09,0,0,0.9046
DEBTOR_00243,57,541,142,low,1,3,38.16,0,0,0.7171
DEBTOR_00244,28,407,167,medium,1,3,55.95,1,0,0.0
DEBTOR_00245,18,738,22,medium,0,4,16.49,0,0,0.7051
DEBTOR_00246,62,462,162,low,0,3,38.52,0,1,0.2777
DEBTOR_00247,76,747,197,medium,1,2,48.71,0,1,0.2726
DEBTOR_00248,61,616,287,low,0,3,38.9,0,1,0.0454
DEBTOR_00249,33,489,118,medium,1,3,34.37,0,0,0.5314
DEBTOR_00250,35,496,59,high,0,1,56.29,0,0,0.6996
DEBTOR_00251,35,723,26,low,0,1,57.34,0,0,0.9437
DEBTOR_00252,28,814,42,low,0,2,43.53,0,0,0.843
DEBTOR_00253,45,536,115,low,0,2,9.77,0,0,0.5651
DEBTOR_00254,59,353,106,medium,0,4,15.72,0,0,0.2208
DEBTOR_00255,19,773,27,high,0,3,30.69,0,0,0.8901
DEBTOR_00256,53,474,12,medium,1,3,27.61,0,0,0.6359
DEBTOR_00257,38,363,5,low,0,3,19.46,0,0,0.5638
DEBTOR_00258,39,666,4,medium,0,3,18.05,0,0,0.7364
DEBTOR_00259,75,599,2,high,0,4,23.99,0,0,0.5514
DEBTOR_00260,77,443,76,medium,0,4,7.27,0,0,0.3508
DEBTOR_00261,36,709,351,low,1,4,14.57,0,0,0.4627
DEBTOR_00262,59,602,5,medium,1,5,20.21,1,0,0.1737
DEBTOR_00263,27,804,78,low,0,2,57.68,0,0,1.0
DEBTOR_00264,41,427,216,medium,0,5,45.39,0,0,0.1686
DEBTOR_00265,40,779,89,medium,1,4,59.86,0,0,0.9279
DEBTOR_00266,44,671,168,low,0,3,34.91,0,0,0.6286
DEBTOR_00267,83,807,27,low,1,5,34.68,0,1,0.3044
DEBTOR_00268,46,625,59,low,0,3,33.72,0,0,0.5844
DEBTOR_00269,77,740,58,medium,1,2,33.73,0,1,0.2132
DEBTOR_00270,56,734,45,medium,1,3,8.42,0,0,0.9141
DEBTOR_00271,64,675,7,medium,0,3,58.61,0,0,0.9451
DEBTOR_00272,28,647,22,medium,0,3,28.18,0,0,0.6487
DEBTOR_00273,68,657,89,medium,1,4,31.12,0,1,0.0917
DEBTOR_00274,18,487,2,low,0,3,27.99,0,0,0.7162
DEBTOR_00275,60,582,14,low,1,3,14.68,0,0,0.8203
DEBTOR_00276,29,521,4,high,0,3,15.61,0,0,0.7546
DEBTOR_00277,47,332,67,low,0,1,50.27,1,0,0.0141
DEBTOR_00278,55,720,149,medium,0,3,5.42,0,0,0.5804
DEBTOR_00279,74,384,89,medium,1,3,8.51,0,1,0.2178
DEBTOR_00280,32,422,15,low,1,3,33.04,0,0,0.7041
DEBTOR_00281,21,750,38,high,0,5,50.19,0,0,0.707
DEBTOR_00282,29,644,17,low,0,4,16.49,0,0,0.5763
DEBTOR_00283,73,454,15,low,0,3,8.92,0,1,0.2172
DEBTOR_00284,62,669,42,medium,0,3,22.63,0,1,0.2009
DEBTOR_00285,36,375,150,medium,0,1,12.9,0,0,0.4134
DEBTOR_00286,33,839,16,low,0,4,16.81,0,0,0.7373
DEBTOR_00287,47,790,53,medium,0,2,52.16,0,0,1.0
DEBTOR_00288,57,411,13,high,1,3,40.24,0,0,0.6009
DEBTOR_00289,23,374,14,low,1,3,1.73,0,0,0.7066
DEBTOR_00290,36,324,16,low,1,4,15.44,0,0,0.4565
DEBTOR_00291,65,790,100,medium,1,3,3.8,0,1,0.3049
DEBTOR_00292,22,378,273,high,0,2,18.94,0,0,0.3448
DEBTOR_00293,69,498,2,high,0,5,20.85,0,1,0.2199
DEBTOR_00294,19,312,69,medium,0,2,9.57,0,0,0.5226
DEBTOR_00295,72,846,44,low,0,5,19.01,0,0,0.9491
DEBTOR_00296,27,845,4,high,0,1,8.39,0,0,0.9202
DEBTOR_00297,71,483,149,low,0,4,32.28,0,0,0.3917
DEBTOR_00298,24,582,1,medium,0,3,71.81,0,0,0.7957
DEBTOR_00299,31,746,107,low,0,4,35.76,0,0,0.6728
DEBTOR_00300,20,660,340,high,1,1,50.24,0,0,0.5148
DEBTOR_00301,71,685,67,low,0,4,20.54,0,1,0.2772
DEBTOR_00302,19,431,261,low,0,3,10.06,0,0,0.1162
DEBTOR_00303,55,550,251,low,1,3,22.3,0,0,0.3402
DEBTOR_00304,77,617,16,low,0,4,36.96,0,0,0.7157
DEBTOR_00305,35,595,248,high,1,4,20.75,0,0,0.4013
DEBTOR_00306,55,364,22,low,0,2,8.95,0,0,0.4683
DEBTOR_00307,48,457,16,low,0,2,20.36,0,0,0.7366
DEBTOR_00308,38,827,12,medium,0,5,22.16,0,0,0.8625
DEBTOR_00309,36,301,171,medium,0,2,2.92,0,0,0.1808
DEBTOR_00310,43,760,7,low,1,3,18.56,0,0,1.0
DEBTOR_00311,46,845,131,medium,0,5,3.78,0,0,0.6416
DEBTOR_00312,47,425,28,low,0,3,7.59,0,0,0.4712
DEBTOR_00313,53,413,43,low,0,3,51.45,0,0,0.6161
DEBTOR_00314,57,665,24,low,1,3,18.64,0,0,0.8457
DEBTOR_00315,62,381,17,low,0,3,21.18,0,0,0.494
DEBTOR_00316,69,837,354,low,0,3,21.58,0,1,0.0831
DEBTOR_00317,69,345,106,low,1,3,26.76,0,1,0.1304
DEBTOR_00318,60,389,14,low,1,3,68.54,0,1,0.3558
DEBTOR_00319,43,756,23,low,0,4,24.74,0,0,0.764
DEBTOR_00320,51,808,14,low,0,3,46.23,0,0,0.9256
DEBTOR_00321,76,368,11,medium,0,3,19.44,0,1,0.0049
DEBTOR_00322,31,802,40,low,1,4,27.23,0,0,0.9043
DEBTOR_00323,21,496,102,low,0,3,14.54,0,0,0.3541
DEBTOR_00324,27,768,20,low,0,3,55.22,0,0,0.7296
DEBTOR_00325,55,593,176,low,1,3,18.09,0,0,0.5006
DEBTOR_00326,74,681,7,low,0,2,43.08,0,1,0.2548
DEBTOR_00327,19,829,174,low,0,3,20.12,0,0,0.6755
DEBTOR_00328,83,485,26,medium,0,3,17.85,0,1,0.0765
DEBTOR_00329,71,312,59,low,0,5,20.1,1,1,0.0128
DEBTOR_00330,33,450,122,medium,0,3,27.39,0,0,0.3366
DEBTOR_00331,82,310,345,low,0,3,38.07,1,1,0.0351
DEBTOR_00332,26,823,144,low,0,4,25.16,0,0,0.7415
DEBTOR_00333,68,676,15,low,1,5,13.04,0,0,0.7646
DEBTOR_00334,26,608,73,low,0,3,25.39,0,0,0.5571
DEBTOR_00335,34,667,57,medium,1,3,9.05,0,0,0.7842
DEBTOR_00336,66,771,291,low,0,5,22.08,0,1,0.1284
DEBTOR_00337,66,610,158,low,1,1,33.63,0,0,0.6371
DEBTOR_00338,62,701,232,low,1,1,48.93,0,1,0.0977
DEBTOR_00339,77,427,272,medium,0,1,16.87,0,1,0.0696
DEBTOR_00340,30,745,73,low,0,4,63.37,0,0,0.6239
DEBTOR_00341,45,816,24,low,0,5,28.09,0,0,0.7849
DEBTOR_00342,72,735,364,high,0,3,22.4,0,0,0.3128
DEBTOR_00343,56,847,94,low,0,2,4.84,0,0,0.9508
DEBTOR_00344,34,643,11,low,0,3,20.75,0,0,0.7414
DEBTOR_00345,64,678,62,low,0,3,6.6,0,0,0.5753
DEBTOR_00346,53,701,149,low,0,5,26.21,0,0,0.513
DEBTOR_00347,39,458,23,low,0,3,11.1,0,0,0.546
DEBTOR_00348,29,749,45,medium,0,1,18.37,0,0,0.8573
DEBTOR_00349,84,814,22,low,0,3,49.14,0,1,0.2205
DEBTOR_00350,26,576,332,medium,1,1,16.41,0,0,0.4129
DEBTOR_00351,34,719,8,low,0,3,32.26,0,0,0.7806
DEBTOR_00352,56,312,87,low,0,3,49.7,0,0,0.3824
DEBTOR_00353,48,536,7,medium,0,2,47.65,0,0,0.8209
DEBTOR_00354,19,513,169,medium,0,3,18.51,0,0,0.4256
DEBTOR_00355,59,599,53,low,0,3,5.44,0,0,0.6785
DEBTOR_00356,78,613,57,high,1,3,35.75,0,0,0.8458
DEBTOR_00357,46,671,11,low,0,1,37.13,0,0,0.9614
DEBTOR_00358,60,785,20,low,0,4,9.07,0,1,0.2147
DEBTOR_00359,66,794,78,low,0,3,8.99,0,1,0.301
DEBTOR_00360,30,507,73,medium,1,3,33.86,0,0,0.7538
DEBTOR_00361,38,499,153,low,0,3,62.79,0,0,0.4557
DEBTOR_00362,54,641,7,low,0,4,12.89,1,0,0.0
DEBTOR_00363,68,519,8,low,1,2,34.94,0,1,0.2878
DEBTOR_00364,70,805,92,high,0,3,60.84,0,1,0.2712
DEBTOR_00365,62,748,40,high,1,3,21.34,0,1,0.1057
DEBTOR_00366,27,374,64,low,0,2,9.38,0,0,0.4125
DEBTOR_00367,21,575,83,low,1,3,32.84,0,0,0.6597
DEBTOR_00368,70,655,126,low,0,3,25.33,0,1,0.2931
DEBTOR_00369,77,542,9,medium,0,5,45.2,0,1,0.0999
DEBTOR_00370,29,688,254,high,1,3,59.12,0,0,0.6866
DEBTOR_00371,42,442,86,low,0,1,37.13,0,0,0.5866
DEBTOR_00372,69,819,298,low,1,4,12.31,0,1,0.1065
DEBTOR_00373,19,361,158,high,1,1,36.27,0,0,0.5157
DEBTOR_00374,73,682,25,medium,0,1,29.66,0,0,0.9402
DEBTOR_00375,83,822,64,low,0,2,5.15,0,0,0.871
DEBTOR_00376,36,627,53,low,0,2,18.46,0,0,0.744
DEBTOR_00377,33,837,38,medium,0,2,24.8,0,0,0.795
DEBTOR_00378,56,721,226,low,0,4,38.8,0,0,0.4239
DEBTOR_00379,29,398,52,low,0,3,25.95,0,0,0.4687
DEBTOR_00380,76,731,17,high,0,2,19.39,1,1,0.0
DEBTOR_00381,41,398,22,low,0,3,17.05,0,0,0.5042
DEBTOR_00382,42,603,157,medium,1,2,22.85,0,0,0.6015
DEBTOR_00383,34,678,93,low,0,5,46.0,0,0,0.6133
DEBTOR_00384,77,330,11,low,0,3,23.23,0,1,0.1909
DEBTOR_00385,49,325,6,high,0,2,22.1,0,0,0.5867
DEBTOR_00386,70,767,54,medium,0,2,35.24,0,1,0.2623
DEBTOR_00387,67,806,18,low,0,4,21.92,0,1,0.3358
DEBTOR_00388,66,452,21,low,0,3,16.6,0,1,0.1239
DEBTOR_00389,50,316,57,low,1,2,22.45,0,0,0.608
DEBTOR_00390,33,723,12,low,1,3,27.31,0,0,0.9796
DEBTOR_00391,72,400,137,medium,1,4,10.69,0,1,0.2566
DEBTOR_00392,76,587,108,medium,0,2,29.19,0,1,0.2344
